Sample_ID,Heat_Treatment,Grain_Size_um,Temperature_C,Measurement_Batch,Hardness_HV
C141,Cold_Rolled,43,25,5,292
C142,Cold_Rolled,40,25,3,299
C143,Cold_Rolled,30,25,2,284
C144,Cold_Rolled,46,25,1,278
C145,Cold_Rolled,41,25,2,283
C146,Cold_Rolled,51,25,5,276
C147,Cold_Rolled,43,25,1,291
C148,Cold_Rolled,36,25,2,289
C149,Cold_Rolled,30,25,2,300
C150,Cold_Rolled,41,25,4,307
C151,Cold_Rolled,50,25,5,277
C152,Cold_Rolled,34,25,4,306
C153,Cold_Rolled,50,25,1,281
C154,Cold_Rolled,49,25,4,275
C155,Cold_Rolled,34,25,5,290
C156,Cold_Rolled,44,25,3,283
C157,Cold_Rolled,46,25,3,273
C158,Cold_Rolled,39,25,1,282
C159,Cold_Rolled,42,25,3,281
C160,Cold_Rolled,37,25,4,293
C161,Cold_Rolled,42,25,1,297
C162,Cold_Rolled,42,25,5,281
C163,Cold_Rolled,37,25,1,294
C164,Cold_Rolled,44,25,1,272
C165,Cold_Rolled,48,25,2,287
C166,Cold_Rolled,39,25,2,276
C167,Cold_Rolled,45,25,1,288
C168,Cold_Rolled,42,25,3,285
C169,Cold_Rolled,51,25,2,276
C170,Cold_Rolled,44,25,5,281
C171,Cold_Rolled,46,25,4,272
C172,Cold_Rolled,51,25,2,268
C173,Cold_Rolled,44,25,1,289
C174,Cold_Rolled,44,25,3,283
C175,Cold_Rolled,41,25,4,283
C176,Cold_Rolled,36,25,2,295
C177,Cold_Rolled,37,25,3,291
C178,Cold_Rolled,46,25,3,276
C179,Cold_Rolled,42,25,3,302
C180,Cold_Rolled,40,25,1,292
C181,Cold_Rolled,46,25,5,282
C182,Cold_Rolled,50,25,3,274
C183,Cold_Rolled,44,25,4,289
C184,Cold_Rolled,36,25,2,287
C185,Cold_Rolled,50,25,4,272
C186,Cold_Rolled,48,25,1,291
C187,Cold_Rolled,47,25,1,280
C188,Cold_Rolled,48,25,4,274
C189,Cold_Rolled,39,25,5,288
C190,Cold_Rolled,46,25,1,287
C191,Cold_Rolled,39,25,1,293
C192,Cold_Rolled,43,25,4,291
C193,Cold_Rolled,50,25,1,269
C194,Cold_Rolled,45,25,5,288
C195,Cold_Rolled,37,25,5,289
C196,Cold_Rolled,42,25,5,285
C197,Cold_Rolled,45,25,2,290
C198,Cold_Rolled,35,25,5,297
C199,Cold_Rolled,48,25,5,282
C200,Cold_Rolled,46,25,2,267
C201,Cold_Rolled,38,25,3,289
C202,Cold_Rolled,39,25,1,282
C203,Cold_Rolled,49,25,5,284
C204,Cold_Rolled,41,25,1,293
C205,Cold_Rolled,46,25,4,279
C206,Cold_Rolled,51,25,1,272
C207,Cold_Rolled,45,25,2,293
C208,Cold_Rolled,29,25,1,297
C209,Cold_Rolled,37,25,1,282
C210,Cold_Rolled,44,25,1,277
C211,Cold_Rolled,50,25,3,274
C212,Cold_Rolled,51,25,3,271
C213,Cold_Rolled,43,25,4,290
C214,Cold_Rolled,41,25,2,270
C215,Cold_Rolled,39,25,1,282
C216,Cold_Rolled,40,25,1,287
C217,Cold_Rolled,39,25,1,289
C218,Cold_Rolled,42,25,1,297
C219,Cold_Rolled,36,25,3,303
C220,Cold_Rolled,46,25,4,270
C221,Cold_Rolled,43,25,5,270
C222,Cold_Rolled,50,25,2,278
C223,Cold_Rolled,46,25,1,276
C224,Cold_Rolled,37,25,4,282
C225,Cold_Rolled,39,25,5,288
C226,Cold_Rolled,52,25,4,278
C227,Cold_Rolled,28,25,3,297
C228,Cold_Rolled,42,25,5,280
C229,Cold_Rolled,42,25,4,279
C230,Cold_Rolled,46,25,3,278
C231,Cold_Rolled,45,25,4,285
C232,Cold_Rolled,43,25,4,277
C233,Cold_Rolled,40,25,5,283
C234,Cold_Rolled,41,25,3,283
C235,Cold_Rolled,46,25,1,281
C236,Cold_Rolled,48,25,2,282
C237,Cold_Rolled,48,25,5,294
C238,Cold_Rolled,36,25,3,295
C239,Cold_Rolled,37,25,4,294
C240,Cold_Rolled,40,25,3,285
C241,Cold_Rolled,37,25,2,284
C242,Cold_Rolled,44,25,2,279
C243,Cold_Rolled,38,25,1,284
C244,Cold_Rolled,40,25,1,290
C245,Cold_Rolled,38,25,2,278
C246,Cold_Rolled,48,25,5,283
C247,Cold_Rolled,52,25,5,275
C248,Cold_Rolled,42,25,4,290
C249,Cold_Rolled,45,25,1,277
C250,Cold_Rolled,52,25,4,270
C251,Cold_Rolled,35,25,1,290
C252,Cold_Rolled,37,25,2,287
C253,Cold_Rolled,41,25,5,291
C254,Cold_Rolled,47,25,5,286
C255,Cold_Rolled,51,25,2,291
C256,Cold_Rolled,52,25,4,273
C257,Cold_Rolled,46,25,4,258
C258,Cold_Rolled,39,25,3,285
C259,Cold_Rolled,45,25,1,284
C260,Cold_Rolled,40,25,4,292
C261,Cold_Rolled,40,25,2,289
C262,Cold_Rolled,39,25,4,284
C263,Cold_Rolled,51,25,5,289
C264,Cold_Rolled,47,25,1,273
C265,Cold_Rolled,41,25,3,284
C266,Cold_Rolled,33,25,1,288
C267,Cold_Rolled,36,25,5,292
C268,Cold_Rolled,42,25,5,296
C269,Cold_Rolled,35,25,5,292
C270,Cold_Rolled,42,25,5,284
C271,Cold_Rolled,50,25,2,266
C272,Cold_Rolled,39,25,3,286
C273,Cold_Rolled,36,25,5,300
C274,Cold_Rolled,30,25,5,298
C275,Cold_Rolled,46,25,4,279
C276,Cold_Rolled,49,25,3,287
C277,Cold_Rolled,38,25,1,287
C278,Cold_Rolled,41,25,3,295
C279,Cold_Rolled,41,25,3,276
C280,Cold_Rolled,35,25,3,298
C281,Cold_Rolled,38,25,5,301
C282,Cold_Rolled,40,25,5,294
C283,Cold_Rolled,46,25,2,268
C284,Cold_Rolled,39,25,1,284
C285,Cold_Rolled,49,25,4,277
C286,Cold_Rolled,42,25,3,292
C287,Cold_Rolled,44,25,1,274
C288,Cold_Rolled,50,25,1,271
C289,Cold_Rolled,41,25,2,275
C290,Cold_Rolled,46,25,4,275
C291,Cold_Rolled,41,25,3,277
C292,Cold_Rolled,48,25,4,291
C293,Cold_Rolled,38,25,2,285
C294,Cold_Rolled,32,25,5,302
C295,Cold_Rolled,49,25,1,279
C296,Cold_Rolled,48,25,3,280
C297,Cold_Rolled,49,25,5,274
C298,Cold_Rolled,44,25,2,288
C299,Cold_Rolled,41,25,4,287
C300,Cold_Rolled,39,25,1,289
C301,Cold_Rolled,42,25,3,281
C302,Cold_Rolled,39,25,5,285
C303,Cold_Rolled,44,25,5,287
C304,Cold_Rolled,46,25,1,282
C305,Cold_Rolled,48,25,4,281
C306,Cold_Rolled,44,25,2,277
C307,Cold_Rolled,48,25,4,293
C308,Cold_Rolled,41,25,4,282
C309,Cold_Rolled,48,25,4,280
C310,Cold_Rolled,46,25,1,280
C311,Cold_Rolled,37,25,1,305
C312,Cold_Rolled,36,25,2,290
C313,Cold_Rolled,36,25,4,289
C314,Cold_Rolled,44,25,1,284
C315,Cold_Rolled,46,25,2,276
C316,Cold_Rolled,40,25,2,287
C317,Cold_Rolled,47,25,4,296
C318,Cold_Rolled,39,25,3,290
C319,Cold_Rolled,46,25,4,283
C320,Cold_Rolled,44,25,3,277
C321,Cold_Rolled,39,25,2,300
C322,Cold_Rolled,51,25,1,291
C323,Cold_Rolled,46,25,5,287
C324,Cold_Rolled,41,25,2,290
C325,Cold_Rolled,40,25,1,285
C326,Cold_Rolled,41,25,2,289
C327,Cold_Rolled,45,25,4,277
C328,Cold_Rolled,38,25,3,281
C329,Cold_Rolled,48,25,2,269
C330,Cold_Rolled,48,25,1,282
C331,Cold_Rolled,41,25,4,276
C332,Cold_Rolled,48,25,5,276
C333,Cold_Rolled,31,25,4,298
C334,Cold_Rolled,46,25,3,288
C335,Cold_Rolled,38,25,4,285
C336,Cold_Rolled,49,25,5,287
C337,Cold_Rolled,34,25,1,301
C338,Cold_Rolled,43,25,2,276
C339,Cold_Rolled,46,25,3,289
C340,Cold_Rolled,45,25,5,280
C341,Cold_Rolled,47,25,3,277
C342,Cold_Rolled,44,25,4,281
C343,Cold_Rolled,49,25,3,279
C344,Cold_Rolled,46,25,5,278
C345,Cold_Rolled,38,25,2,283
C346,Cold_Rolled,42,25,2,279
C347,Cold_Rolled,48,25,3,280
C348,Cold_Rolled,44,25,1,281
C349,Cold_Rolled,36,25,3,296
C350,Cold_Rolled,46,25,4,282
C351,Cold_Rolled,48,25,2,280
C352,Cold_Rolled,40,25,2,291
C353,Cold_Rolled,52,25,2,287
C354,Cold_Rolled,45,25,1,292
C355,Cold_Rolled,35,25,1,303
C356,Cold_Rolled,44,25,5,289
C357,Cold_Rolled,38,25,3,304
C358,Cold_Rolled,48,25,3,282
C359,Cold_Rolled,45,25,4,285
C360,Cold_Rolled,45,25,2,298
C361,Cold_Rolled,40,25,1,267
C362,Cold_Rolled,43,25,4,282
C363,Cold_Rolled,34,25,4,304
C364,Cold_Rolled,46,25,1,288
C365,Cold_Rolled,43,25,3,302
C366,Cold_Rolled,45,25,2,283
C367,Cold_Rolled,43,25,3,280
C368,Cold_Rolled,44,25,4,281
C369,Cold_Rolled,47,25,2,282
C370,Cold_Rolled,39,25,5,300
C371,Cold_Rolled,47,25,4,292
C372,Cold_Rolled,47,25,3,280
C373,Cold_Rolled,50,25,3,280
C374,Cold_Rolled,46,25,3,277
C375,Cold_Rolled,47,25,1,277
C376,Cold_Rolled,53,25,4,283
C377,Cold_Rolled,51,25,2,288
C378,Cold_Rolled,45,25,3,278
C379,Cold_Rolled,34,25,3,296
C380,Cold_Rolled,49,25,1,277
C381,Cold_Rolled,44,25,2,289
C382,Cold_Rolled,45,25,4,280
C383,Cold_Rolled,40,25,5,274
C384,Cold_Rolled,39,25,1,295
C385,Cold_Rolled,27,25,4,303
C386,Cold_Rolled,42,25,5,284
C387,Cold_Rolled,47,25,3,283
C388,Cold_Rolled,46,25,3,283
C389,Cold_Rolled,46,25,2,285
C390,Cold_Rolled,46,25,5,269
C391,Cold_Rolled,32,25,3,301
C392,Cold_Rolled,39,25,3,274
C393,Cold_Rolled,50,25,2,283
C394,Cold_Rolled,41,25,4,294
C395,Cold_Rolled,48,25,3,270
C396,Cold_Rolled,39,25,1,290
C397,Cold_Rolled,36,25,1,299
C398,Cold_Rolled,45,25,4,279
C399,Cold_Rolled,46,25,5,286
C400,Cold_Rolled,33,25,2,276
C401,Cold_Rolled,47,25,1,288
C402,Cold_Rolled,47,25,1,280
C403,Cold_Rolled,48,25,4,278
C404,Cold_Rolled,44,25,5,290
C405,Cold_Rolled,42,25,5,297
C406,Cold_Rolled,37,25,4,293
C407,Cold_Rolled,40,25,1,298
C408,Cold_Rolled,40,25,2,276
C409,Cold_Rolled,35,25,1,298
C410,Cold_Rolled,48,25,5,279
C411,Cold_Rolled,50,25,1,273
C412,Cold_Rolled,40,25,2,274
C413,Cold_Rolled,44,25,3,287
C414,Cold_Rolled,37,25,1,296
C415,Cold_Rolled,44,25,4,293
C416,Cold_Rolled,46,25,3,289
C417,Cold_Rolled,40,25,4,282
C418,Cold_Rolled,43,25,4,293
C419,Cold_Rolled,44,25,4,293
C420,Cold_Rolled,25,25,1,308
C421,Cold_Rolled,36,25,5,292
C422,Cold_Rolled,39,25,3,282
C423,Cold_Rolled,43,25,2,295
C424,Cold_Rolled,43,25,5,273
C425,Cold_Rolled,45,25,1,286
C426,Cold_Rolled,42,25,4,281
C427,Cold_Rolled,46,25,2,274
C428,Cold_Rolled,49,25,3,266
C429,Cold_Rolled,44,25,5,282
C430,Cold_Rolled,42,25,5,276
C431,Cold_Rolled,37,25,2,290
C432,Cold_Rolled,47,25,1,293
C433,Cold_Rolled,43,25,3,285
C434,Cold_Rolled,40,25,2,301
C435,Cold_Rolled,40,25,4,280
C436,Cold_Rolled,32,25,3,288
C437,Cold_Rolled,45,25,5,275
C438,Cold_Rolled,47,25,2,279
C439,Cold_Rolled,43,25,5,303
C440,Cold_Rolled,45,25,5,271
C441,Cold_Rolled,45,25,5,286
C442,Cold_Rolled,46,25,1,276
C443,Cold_Rolled,42,25,5,284
C444,Cold_Rolled,47,25,4,272
C445,Cold_Rolled,39,25,4,294
C446,Cold_Rolled,39,25,3,287
C447,Cold_Rolled,41,25,5,293
C448,Cold_Rolled,48,25,5,281
C449,Cold_Rolled,42,25,2,271
C450,Cold_Rolled,37,25,1,298
C451,Cold_Rolled,38,25,3,275
C452,Cold_Rolled,39,25,5,274
C453,Cold_Rolled,43,25,2,277
C454,Cold_Rolled,43,25,1,277
C455,Cold_Rolled,36,25,3,302
C456,Cold_Rolled,42,25,3,284
C457,Cold_Rolled,42,25,5,294
C458,Cold_Rolled,21,25,3,315
C459,Cold_Rolled,45,25,2,284
C460,Cold_Rolled,51,25,3,280
C461,Cold_Rolled,44,25,4,288
C462,Cold_Rolled,44,25,2,280
C463,Cold_Rolled,42,25,1,282
C464,Cold_Rolled,41,25,1,284
C465,Cold_Rolled,51,25,5,265
C466,Cold_Rolled,40,25,5,286
C467,Cold_Rolled,44,25,4,281
C468,Cold_Rolled,45,25,1,286
C469,Cold_Rolled,50,25,1,278
C470,Cold_Rolled,34,25,1,304
C471,Cold_Rolled,45,25,1,282
C472,Cold_Rolled,39,25,3,284
C473,Cold_Rolled,47,25,2,280
C474,Cold_Rolled,42,25,2,290
C475,Cold_Rolled,45,25,4,270
C476,Cold_Rolled,40,25,3,282
C477,Cold_Rolled,45,25,1,277
C478,Cold_Rolled,47,25,1,283
C479,Cold_Rolled,43,25,5,287
C480,Cold_Rolled,44,25,5,284
C481,Cold_Rolled,42,25,4,268
C482,Cold_Rolled,38,25,1,278
C483,Cold_Rolled,48,25,4,278
C484,Cold_Rolled,38,25,3,286
C485,Cold_Rolled,49,25,2,279
C486,Cold_Rolled,40,25,1,284
C487,Cold_Rolled,40,25,3,298
C488,Cold_Rolled,46,25,1,265
C489,Cold_Rolled,47,25,5,282
C490,Cold_Rolled,47,25,4,286
C491,Cold_Rolled,43,25,5,289
C492,Cold_Rolled,39,25,2,293
C493,Cold_Rolled,44,25,5,289
C494,Cold_Rolled,52,25,1,272
C495,Cold_Rolled,46,25,5,273
C496,Cold_Rolled,46,25,1,267
C497,Cold_Rolled,41,25,2,284
C498,Cold_Rolled,40,25,5,281
C499,Cold_Rolled,43,25,4,292
